sentence1	sentence2	label
ofo app近日推出了小游戏功能 被外界猜测似乎要通过游戏增加收入实现盈利 ofo官方表示 小游戏功能目前处于测试阶段 主要为增强用户粘性 目前没有通过游戏实现盈利的计划	新浪科技在ofo app看到 ofo在新奇栏目增加了一个小游戏功能 目前上线了一款名为 天使的蛋生beta 的养成类游戏 这让外界联想到ofo似乎要通过游戏来增加收入实现盈利	0
近期 国内股市出现明显回调 部分a股投资者产生担忧情绪和避险心理 其实 市场短期波动呈现出不确定性很正常 投资预期下降可以理解 但投资者完全没必要过度悲观甚至恐慌 今年上半年 我国经济运行平稳 供给侧结构性改革成效持续显现 表现为成本下降和杠杆率降低 作为经济的 晴雨表 股市不存在长期大幅下跌的基础 经济日报	当前中国经济基本面良好 金融风险总体可控 转型升级加快推进 国际收支稳定 跨境资本流动大体平衡 经济进入高质量发展阶段 从国家统计局服务业调查中心和中国物流与采购联合会发布的中国采购经理指数看 今年上半年 我国经济运行平稳 供给侧结构性改革成效持续显现 表现为成本下降和杠杆率降低 作为经济的 晴雨表 股市不存在长期大幅下跌的基础 阅读电子报	1
联化科技4日公告 半年报业绩预期变动幅度由 30 至0 下修至比上年同期下降70 100 预计盈利0万元至 5 053 93万元 下调原因为子公司因环保原因停产	联化科技 下调业绩预期 上半年净利预降70 100 联化科技4日晚发布业绩预告修正公告 公司此前预计上半年净利1 18亿至1 68亿元 同比变动幅度为 30 至0 修正后 预计上半年净利为0万元至5054万元 同比下降70 100 子公司江苏联化科技和联化科技 盐城	1
7月2日上午 上海研制生产的首批5 5吋全高清固定曲面柔性amoled手机屏 在位于金山区的和辉光电一期厂房实现量产出货 打破了韩国三星等国外企业在该项目上的技术垄断 同时 和辉光电第6代amoled显示项目生产设备也进入安装调试阶段 计划于2019年初投入试生产	机构调研聚焦oled板块 财联社6月4日讯 数据显示 截至3日记者发稿 沪深两市共有108家公司披露了上周 5月28日至6月1日 的机构调研记录 随着oled 黑牛食品方面在调研活动中表示 公司将把握amoled行业快速发展的机遇期 目前专注于中小尺寸面板 并持续提供符合市场需求的产品 上海证券报	0
业绩增长是上市公司加大现金分红的基础 近年来 a股上市公司现金分红规模持续增长与公司整体业绩向好分不开 据统计 2013年至2017年 a股上市公司实现净利润总额高达13 77万亿元 累计现金分红4 47万亿元 按照整体法计算 整体派现率为32 46 证券日报	a股上市公司5年累计现金分红4 47万亿元 业绩增长是上市公司加大现金分红的基础 近年来 a股上市公司现金分红规模持续增长与公司整体业绩向好分不开 据统计 2013年至2017年 a股上市公司实现净利润总额高达13 77万亿元 累计现金分红4 47万亿元 按照整体法计算 整体派现率为32 46 证券日报	1
温氏股份 6月销售商品肉猪161 39万头 收入21 56亿元 销售均价11 58元 公斤 环比变动分别为 11 09 1 73 11 67 同比变动分别为6 23 11 60 15 16 相关融资标的 温氏股份 300498	温氏股份4日公告 2018年6月销售商品肉猪161 39万头 收入21 56亿元 销售均价11 58元 公斤 环比变动分别为 11 09 1 73 11 67 同比变动分别 为6 23 11 60 15 16	1
北京文化4日晚间公告 公司参与投资 发行的电影 我不是药神 将于2018年7月5日起在中国大陆地区公映	北京文化对于 我不是药神 来说是特殊的 不仅因为其是主投方之一 还是影片的主控宣发方 今年3月24日 北京文化公告披露将投资和宣发 我不是药神 宣发预算为不高于6000万元	0
永清环保 300187 将于2018年07月05日召开股东大会 会议审议事项为 关于重大资产重组延期复牌的议案	永清环保晚间发布公告 由于相关工作还在进展过程中 上述事项尚存在不确定性 为避免公司股价异常波动 切实维护投资者利益 经公司第四届董事会第六次会议审议通过 并向深圳证券交易所申请 公司股票自2018年6月9日起继续停牌 预计停牌不超过一个月 停牌期间 公司将根据重大资产重组的进展情况 及时履行信息披露义务 每五个交易日发布一次重大资产重组进展公告 待相关工作完成后召开董事会审议重大资产重组预案或草案 及时公告并复牌	0
截至22 06 中概股中 研控科技 乐居 绿润集团涨幅靠前 分别为9 15 5 52 5 00 兰亭集势 泰克飞石 华瑞国际跌幅居前 分别为 7 32 6 28 6 06	在大盘上扬带动下 中概股今日开盘普遍表现出色 凤凰新媒体开盘后大涨5 43 触及一个多月来的新高	0
据星球日报报道 近日 代币投资平台republic宣布完成了1200万美元的融资 由binance labs和neo global capital eco fund领投 其余参投方还包括真格基金 zk capital east chain co 等 同时 republic宣布将发行自己的代币 作为平台流通手段	金色财经 比特币7月4日讯 一个名为republic的零售加密投资平台最近宣布完成了一笔1200万美元的新一轮融资 旨在支持其平台代币化 并推出自己的证券型代币 本轮融资的领投方为binance labs和ngc eco fund 参投方包括zk capital oyster ventures fbg capital hazoor capital east chain 以及真格基金等	1
